record_id,estudio,idioma,fuente_del_idioma,version_inglesa,veredicto,pmid,revista,titulo
R63f460ad1a,72,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/study/NCT06605651,Proof of Concept Study to Assess Safety and Efficacy of Phage Therapy in Hip or Knee Prosthetic Joint Infections Due to 
R6cfa72b38c,72,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Proof of Concept Study to Assess Safety and Efficacy of Phage Therapy in Hip or Knee Prosthetic Joint Infections Due to 
R607037aeaa,73,eng,Europe PMC (campo language),,elegible,31081402,The international journal of lower extremity wounds,Bacteriophage Therapy of Chronic Nonhealing Wound: Clinical Study.
R93e07521e9,74,eng,Europe PMC (campo language),,elegible,32380707,"Antibiotics (Basel, Switzerland)",Bacteriophage Therapy for Critical Infections Related to Cardiothoracic Surgery.
R4e80e5028d,75,eng,exportacion de Scopus (brazo A) (campo de idioma),,elegible,,Medical Immunology (Russia),Phage therapy in antibiotic resistant pneumonia: Immunomodulation or redistribution?; [ФАГОТЕРАПИЯ АНТИБИОТИКОРЕЗИСТЕНТН
R66891a5069,76,eng,Europe PMC (campo language),,elegible,36104853,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Experience Using Adjuvant Bacteriophage Therapy for the Treatment of 10 Recalcitrant Periprosthetic Joint Infections: A 
Rf41ce1f437,77,eng,Europe PMC (campo language),,elegible,38470133,Antimicrobial agents and chemotherapy,Pseudomonas aeruginosa ventricular assist device infections: findings from ineffective phage therapies in five cases.
Re9fa49ae6d,78,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,International journal of diabetes in developing countries,Efficacy of Bacteriophage Therapy in the Treatment of Diabetic Foot Ulcers: a Pilot Study from South India
Re398a135c1,79,eng,exportacion de Scopus (brazo A) (campo de idioma),,elegible,,Meditsinskiy Sovet,The potential use of phage therapy in the treatment of exacerbated chronic suppurative otitis media; [Возможности фаготе
Rde30f4212d,80,eng,Europe PMC (campo language),,elegible,,"PHAGE: Therapy, Applications, and Research",Bacteriophage Therapy as a Potential Management Option for Surgical Wound Infections
Rbcb0bd26fd,81,eng,Europe PMC (campo language),,elegible,32657966,Current opinion in infectious diseases,Bacteriophage therapy as a treatment option for transplant infections.
Ra0a7764be2,82,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Ph 1/2 Study Evaluating Safety and Tolerability of Inhaled AP-PA02 in Subjects With Chronic Pseudomonas Aeruginosa Lung 
