estudio,clave,situacion,orden,record_id,tipo_informe,informe_para_extraer,informes_del_estudio,anio,revista,titulo
24,T:bacteriophagetherapyforpandrugresistantpseudomonasaeruginosaintwopersonswithcyst,extraible,47,Rc5f05c2543,articulo,SI,1,2023,Journal of investigative medicine high impact case reports,Bacteriophage Therapy for Pan-Drug-Resistant Pseudomonas aeruginosa in Two Persons With Cystic Fibrosis.
25,NCT04787250,solo-registro,55,R8a3bc1100e,ficha de registro,no,2,2021,https://clinicaltrials.gov/show/NCT04787250,Bacteriophage Therapy in Patients With Prosthetic Joint Infections
25,NCT04787250,solo-registro,168,R685eac0bf9,ficha de registro,SI,2,2022,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections
26,NCT05269134,solo-registro,57,R154a4d73a3,ficha de registro,no,2,2022,https://clinicaltrials.gov/show/NCT05269134,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI)
26,NCT05269134,solo-registro,176,Rcdf346a99e,ficha de registro,SI,2,2023,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI)
27,T:personalizedaerosolisedbacteriophagetreatmentofachroniclunginfectionduetomultidr,extraible,60,R87db0a0109,articulo,SI,1,2023,Nature communications,Personalized aerosolised bacteriophage treatment of a chronic lung infection due to multidrug-resistant Pseudomonas aeruginosa.
28,T:afeasibilitystudyforpersonalizedphagetherapyagainstdrugresistantbacteriainjapan,extraible,64,Re06c450e37,articulo,SI,1,2025,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,A feasibility study for personalized phage therapy against drug-resistant bacteria in Japan.
29,NCT04803708,extraible,66,R179a877749,articulo,SI,4,2025,"Med (New York, N.Y.)",Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in patients with infected and non-infected diabetic foot ulcers.
29,NCT04803708,extraible,93,R73ebf766af,ficha de registro,no,4,2021,https://clinicaltrials.gov/show/NCT04803708,Bacteriophage Therapy TP-102 in Diabetic Foot Ulcers
29,NCT04803708,extraible,438,R2298493744,ficha de registro,no,4,2021,,Bacteriophage Therapy TP-102 in Diabetic Foot Ulcers
29,NCT04803708,extraible,739,R36f8e8613e,resumen de congreso,no,4,2022,Open forum infectious diseases,Assessing the safety of TP-102 bacteriophage treatment in the management of diabetic foot infections
30,T:clearanceofhypermutatorxdrpseudomonasosteomyelitisandhardwareinfectionwithadjunc,extraible,67,R71c51137b3,articulo,SI,1,2026,ASM case reports,Clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection with adjunctive bacteriophage therapy.
