id,situacion,anio,revista,titulo,n_informes,diseno,n_brazo,procedencia,texto_completo,clave_de_estudio
EST-063,extraible,2023,BMJ open respiratory research,"Single-arm, open-labelled, safety and tolerability of intrabronchial and nebulised bacteriophage treatment in children with cystic fibrosis and Pseudomonas aeruginosa.",1,non-randomised trial,,,sí,T:singlearmopenlabelledsafetyandtolerabilityofintrabronchialandnebulisedbacterioph
EST-064,extraible,2025,International journal of antimicrobial agents,Adjunctive bacteriophage therapy for refractory/resistant Pseudomonas aeruginosa infections: Bottlenecks and proposed solutions.,1,,,,no,T:adjunctivebacteriophagetherapyforrefractoryresistantpseudomonasaeruginosainfecti
EST-065,extraible,2025,Enfermedades Infecciosas y Microbiologia Clinica,Successful phage therapy in a patient with prosthetic joint infection; [Tratamiento exitoso con fagoterapia en una paciente con infección periprotésica],1,case report,1,España,no,T:successfulphagetherapyinapatientwithprostheticjointinfectiontratamientoexitosoco
EST-066,solo-registro,2022,,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients,2,,,,no,NCT04323475
EST-068,solo-registro,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2023-507203-55-00,"A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of an inhaled (nebulized) phage cocktail in healthy subjects and in patients with chronic colonization of the lung with Pseudomonas aeruginosa",1,,,,no,T:athreepartrandomizeddoubleblindplacebocontrolledparallelgroupsadandmdclinicalstu
EST-069,solo-registro,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2022-503145-22-00,"A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of an inhaled (nebulized) phage cocktail in healthy subjects and in patients with chronic colonization of the lung with Pseudomonas aeruginosa",1,,,,no,T:atwopartrandomizeddoubleblindplacebocontrolledparallelgroupsadandmdclinicalstudy
EST-070,extraible,2023,Open Forum Infectious Diseases,Compassionate Use of Bacteriophages for Failed Persistent Infections During the First 5 Years of the Israeli Phage Therapy Center,1,prospective cohort,,Israel,no,T:compassionateuseofbacteriophagesforfailedpersistentinfectionsduringthefirst5year
EST-071,solo-registro,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20230701058628N1,Investigating phage therapy in the prevention of ventilator-induced bacterial pneumonia in patients admitted to the pediatric intensive care unit,1,,,,no,T:investigatingphagetherapyinthepreventionofventilatorinducedbacterialpneumoniainp
EST-072,solo-registro,2026,,Proof of Concept Study to Assess Safety and Efficacy of Phage Therapy in Hip or Knee Prosthetic Joint Infections Due to Staphylococcus Aureus Treated by DAIR.,2,,,,no,NCT06605651
EST-073,extraible,2019,The international journal of lower extremity wounds,Bacteriophage Therapy of Chronic Nonhealing Wound: Clinical Study.,1,prospective cohort,20,,no,T:bacteriophagetherapyofchronicnonhealingwoundclinicalstudy
