nct_id,arms,briefTitle,overallStatus,date,studyType,phases,count,conditions,interventions,name
NCT07240181,B_intervention_only,OPTImization of Inflammatory Bowel Disease Treatment Through Understanding of Gut VIRome Heterogeneity,NOT_YET_RECRUITING,2025-12-01,OBSERVATIONAL,,40,IBD (Inflammatory Bowel Disease); Crohns Disease; Colitis Ulcerative,,Andreas Munk Petersen
NCT07275905,B_intervention_only,Bacteriophages for Adults With Cystic Fibrosis and Chronic Achromobacter Lung Infection,RECRUITING,2026-08-01,INTERVENTIONAL,PHASE1,12,Cystic Fibrosis (CF); Achromobacter Infection,AchromoPhage,Ghady Haidar
NCT07280598,B_intervention_only,Safety of Combined Intravenous Antibiotic and Bacteriophage Therapy in Adults With Cystic Fibrosis and Antibiotic-Resistant Lung Infections,NOT_YET_RECRUITING,2025-12-31,INTERVENTIONAL,PHASE1,30,CF - Cystic Fibrosis; Klebsiella Pneumoniae Infection; E Coli Infections; Staphylococcus Aureus Infection; Achromobacter; Stenotrophomonas Maltophilia Infection,Intravenous Bacteriophage Cocktail plus Standard IV Antibiotics,"University of California, San Diego"
NCT07323680,B_intervention_only,"Comparative Pharmacokinetic, Pharmacodynamic, and Safety Study of 1 Dose of Aspirin for Injection and Oral Aspirin Tablets in Healthy Adult Subjects",COMPLETED,2025-06-15,INTERVENTIONAL,PHASE1,40,Healthy,325 mg Oral Aspirin; 325 mg aspirin by rapid IV push,Rhoshan Pharmaceuticals Inc
NCT07338123,B_intervention_only,A Randomized Controlled Trial (RCT) of Yiqi Huoxue Jiedu Formula Combined With Bacteriophages in the Treatment of Severe Pneumonia Caused by Drug-resistant Gram-negative Bacilli,NOT_YET_RECRUITING,2026-02-01,INTERVENTIONAL,EARLY_PHASE1,240,Pneumonia,YHDF Drug; YHDF Placebo; Bacteriophage; Bacteriophage Placebo,Chinese PLA General Hospital
NCT07382271,B_intervention_only,"Evaluation of Safety and Efficacy of Phage Therapy for Drug-resistant Bacterial Infections: An Exploratory, Prospective Single-arm Study",NOT_YET_RECRUITING,2026-02,INTERVENTIONAL,NA,6,Urinary Tract Infections; Urinary Tract Infections Caused by Drug-resistant Bacteria,Personalized Phage Cocktail,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School
NCT07429162,B_intervention_only,Bacteriophage for Chronic Multidrug-Resistant Mycobacterium Abscessus Subsp. Abscessus Pulmonary Infection,NOT_YET_RECRUITING,2026-07-02,INTERVENTIONAL,PHASE1,1,Mycobacterium Abscessus Infection; Bacteriophage Therapy; Pulmonary Disease,DP-QB-MYA-002,Alberta Health services
NCT07461337,B_intervention_only,Bacteriophage Therapy for Staphylococcus Lugdunensis Prosthetic Joint Infection,NOT_YET_RECRUITING,2026-03,INTERVENTIONAL,PHASE1; PHASE2,1,Prosthetic Joint Infections of Hip; Bacteriophage Therapy,Five phage anti-Staphylococcus aureus bacteriophage cocktail,University of Calgary
NCT07492771,A_condition_and_intervention;B_intervention_only,MP101 in Adults With Acute Pseudomonas Aeruginosa Pneumonia,RECRUITING,2026-07-25,INTERVENTIONAL,PHASE1,18,Pneumonia - Bacterial; Pseudomonas Aeruginosa Infection,MP101; Antibiotics,"MicrobiotiX Co., Ltd"
NCT07533292,B_intervention_only,Bacteriophage Therapy for Orthopedic Implant-Associated Infections,NOT_YET_RECRUITING,2026-04-05,INTERVENTIONAL,PHASE3,100,Orthopedic; Implant Infection,bacteriophage preparation,"Second Affiliated Hospital, School of Medicine, Zhejiang University"
NCT07539987,B_intervention_only,Evaluation of a Novel Indoor Air Pollution Intervention Among Older Adults,NOT_YET_RECRUITING,2026-08,INTERVENTIONAL,NA,154,"Cardiovascular Diseases; Blood Pressure; Glycated Hemoglobin (HbA1c); Cholesterol; Cholesterol, HDL; Cholesterol, LDL; Indoor Air Quality; Particulate Matter; Health Behavior",Air Improvement and Real-time Monitoring for Wellness through Interactive Strategies and Education (AIRWISE); Portable Air Cleaner (PAC) Control,University of Montana
NCT07589166,B_intervention_only,Identifying Terpenoid- and Carotenoid-modifying Enzymes in the Human Gut,COMPLETED,2025-09-09,OBSERVATIONAL,,40,Terpene Synthases; Carotenoid Modifying Enzymes,No Intervention: Observational Cohort,North Carolina State University
NCT07612605,B_intervention_only,Yiqi Huoxue Jiedu Formula Combined With Bacteriophages in the Treatment of Severe Pneumonia,NOT_YET_RECRUITING,2026-06-01,INTERVENTIONAL,EARLY_PHASE1,250,Pneumonia,YHDF placebo; Bacteriophage Placebo; YHDF Drug; Bacteriophage,Chinese PLA General Hospital
NCT07619924,B_intervention_only,Randomized Controlled Study on the Safety and Efficacy of Phage Cocktail in the Treatment of Multidrug-Resistant Bacterial Skin Infections,ENROLLING_BY_INVITATION,2025-01-15,INTERVENTIONAL,EARLY_PHASE1,150,Phage Therapy; Bacteriophage Therapy; Skin and Soft Tissue Infections,Bacteriophage Treatment; Placebo treatment using 0.9% normal saline,First Affiliated Hospital Xi'an Jiaotong University
NCT07698002,B_intervention_only,"""Debridement PhagE AnTibiotics for PJI""",NOT_YET_RECRUITING,2026-07-02,INTERVENTIONAL,PHASE2; PHASE3,10,Periprosthetic Infection,"The investigational product specifically targeting P. aeruginosa (DP-QB-PSA-005) and that targeting S. aureus (DP-QB-STA-005), each formed of a mixture of 5 bacteriophages.",Ottawa Hospital Research Institute
